CHANNEL,PHASE,EPC,RSSI
912.75,4.675573441,E200 0017 9408 0236 1560 799A,-56.5
912.75,2.14143718,3039 6062 C3AD 3FC0 001F 4997,-59
912.75,4.884194829,E200 0017 9408 0139 1660 6D3D,-62.5
912.75,1.030835089,C200 10D3 2002 29A4 BCC3 0004,-66
912.75,2.067806102,3039 6062 C3AD 3FC0 001F 4997,-58
912.75,5.227806525,E200 0017 9408 0139 1660 6D3D,-61.5
912.75,4.706253057,E200 0017 9408 0236 1560 799A,-56.5
912.75,6.000932842,E280 1160 6000 0209 5014 4A91,-76
912.75,4.663301595,E200 0017 9408 0236 1560 799A,-56.5
912.75,2.043262409,3039 6062 C3AD 3FC0 001F 4997,-59
912.75,5.767767762,E200 0017 9408 0139 1660 6D3D,-60.5
912.75,5.84139884,E280 1160 6000 0209 5014 4A91,-76
923.25,2.386874106,E200 0017 9408 0139 1660 6D3D,-61.5
923.25,1.705786636,E200 0017 9408 0236 1560 799A,-57
923.25,4.601942364,3039 6062 C3AD 3FC0 001F 4997,-62.5
923.25,4.540583132,3039 6062 C3AD 3FC0 001F 4997,-63
923.25,2.82252465,E200 0017 9408 0139 1660 6D3D,-63
923.25,1.681242944,E200 0017 9408 0236 1560 799A,-56.5
923.25,2.865476112,E200 0017 9408 0139 1660 6D3D,-64
923.25,4.669437518,3039 6062 C3AD 3FC0 001F 4997,-63.5
923.25,1.742602175,E200 0017 9408 0236 1560 799A,-57
923.25,1.705786636,E200 0017 9408 0236 1560 799A,-57
923.25,4.632621979,3039 6062 C3AD 3FC0 001F 4997,-63
923.25,4.804427828,3039 6062 C3AD 3FC0 001F 4997,-62.5
923.25,1.736466252,E200 0017 9408 0236 1560 799A,-57
910.25,0.91425255,E200 0017 9408 0139 1660 6D3D,-64
910.25,3.411573272,3039 6062 C3AD 3FC0 001F 4997,-60
910.25,5.485515297,E200 0017 9408 0236 1560 799A,-56.5
910.25,0.754718548,E200 0017 9408 0139 1660 6D3D,-63.5
910.25,5.479379374,E200 0017 9408 0236 1560 799A,-56.5
910.25,3.411573272,3039 6062 C3AD 3FC0 001F 4997,-60
910.25,3.313398502,3039 6062 C3AD 3FC0 001F 4997,-59.5
910.25,0.77926224,E200 0017 9408 0139 1660 6D3D,-63.5
910.25,5.39347645,E200 0017 9408 0236 1560 799A,-56.5
910.25,3.282718886,3039 6062 C3AD 3FC0 001F 4997,-59
910.25,0.809941856,E200 0017 9408 0139 1660 6D3D,-63.5
910.25,5.485515297,E200 0017 9408 0236 1560 799A,-56.5
904.75,5.221670602,3039 6062 C3AD 3FC0 001F 4997,-58.5
904.75,2.810252803,E200 0017 9408 0139 1660 6D3D,-60
904.75,1.135145783,E200 0017 9408 0236 1560 799A,-55
904.75,2.877747958,E200 0017 9408 0139 1660 6D3D,-59.5
904.75,5.17871914,3039 6062 C3AD 3FC0 001F 4997,-58
904.75,1.098330244,E200 0017 9408 0236 1560 799A,-54.5
904.75,4.393320977,E280 1160 6000 0209 5014 4A91,-75
904.75,5.283029833,3039 6062 C3AD 3FC0 001F 4997,-58.5
904.75,1.116738014,E200 0017 9408 0236 1560 799A,-54.5
904.75,2.80411688,E200 0017 9408 0139 1660 6D3D,-58.5
904.75,1.159689476,E280 1160 6000 0209 5014 4A91,-75.5
904.75,5.307573526,3039 6062 C3AD 3FC0 001F 4997,-58
904.75,1.116738014,E200 0017 9408 0236 1560 799A,-55.5
904.75,2.896155728,E200 0017 9408 0139 1660 6D3D,-58
904.75,4.301282129,E280 1160 6000 0209 5014 4A91,-75
904.75,3.166136346,E200 0017 9408 0139 1660 6D3D,-56.5
911.75,4.865787059,E200 0017 9408 0236 1560 799A,-56.5
911.75,2.68753434,3039 6062 C3AD 3FC0 001F 4997,-59
911.75,4.859651136,E200 0017 9408 0236 1560 799A,-56.5
911.75,0.932660319,E200 0017 9408 0139 1660 6D3D,-57.5
911.75,2.699806187,3039 6062 C3AD 3FC0 001F 4997,-59.5
911.75,1.049242859,E200 0017 9408 0139 1660 6D3D,-57
911.75,4.878058905,E200 0017 9408 0236 1560 799A,-56
911.75,5.97638915,3039 6062 C3AD 3FC0 001F 4997,-60
911.75,2.797980957,3039 6062 C3AD 3FC0 001F 4997,-59
911.75,4.871922982,E200 0017 9408 0236 1560 799A,-56.5
911.75,1.018563243,E200 0017 9408 0139 1660 6D3D,-57.5
911.75,4.902602598,E200 0017 9408 0236 1560 799A,-56.5
911.75,1.239456477,E200 0017 9408 0139 1660 6D3D,-58
911.75,2.871612035,3039 6062 C3AD 3FC0 001F 4997,-60
911.75,1.34376717,E200 0017 9408 0139 1660 6D3D,-58
911.75,4.908738521,E200 0017 9408 0236 1560 799A,-56
905.75,5.148039524,3039 6062 C3AD 3FC0 001F 4997,-58.5
905.75,5.154175447,3039 6062 C3AD 3FC0 001F 4997,-60
905.75,0.754718548,E200 0017 9408 0236 1560 799A,-55.5
905.75,3.38702958,E200 0017 9408 0139 1660 6D3D,-59
905.75,0.478602006,E280 1160 6000 0209 5014 4A91,-74
905.75,5.148039524,3039 6062 C3AD 3FC0 001F 4997,-60
905.75,3.178408192,E200 0017 9408 0139 1660 6D3D,-60.5
905.75,0.773126317,E200 0017 9408 0236 1560 799A,-55.5
905.75,0.558369007,E280 1160 6000 0209 5014 4A91,-74.5
905.75,5.233942448,3039 6062 C3AD 3FC0 001F 4997,-61.5
905.75,0.773126317,E200 0017 9408 0236 1560 799A,-55
905.75,3.221359655,E200 0017 9408 0139 1660 6D3D,-64
905.75,3.902447124,E280 1160 6000 0209 5014 4A91,-74.5
905.75,2.908427574,E200 0017 9408 0139 1660 6D3D,-65
905.75,0.785398163,E200 0017 9408 0236 1560 799A,-55.5
912.25,2.797980957,3039 6062 C3AD 3FC0 001F 4997,-63
912.25,4.859651136,E200 0017 9408 0236 1560 799A,-55.5
912.25,2.797980957,3039 6062 C3AD 3FC0 001F 4997,-63.5
912.25,4.927146291,E200 0017 9408 0236 1560 799A,-55.5
912.25,2.632311032,3039 6062 C3AD 3FC0 001F 4997,-62.5
912.25,5.804583301,E280 1160 6000 0209 5014 4A91,-76
912.25,2.718213956,3039 6062 C3AD 3FC0 001F 4997,-61
912.25,4.988505522,E200 0017 9408 0236 1560 799A,-56.5
912.25,0.294524311,E200 0017 9408 0139 1660 6D3D,-63
912.25,4.921010368,E200 0017 9408 0236 1560 799A,-56.5
912.25,2.552544031,3039 6062 C3AD 3FC0 001F 4997,-61
912.25,0.803805933,E200 0017 9408 0139 1660 6D3D,-60.5
921.75,5.78310757,C200 10D3 2002 29A4 BCC3 0004,-66
921.75,1.932815793,E200 0017 9408 0236 1560 799A,-59
921.75,6.07456392,E200 0017 9408 0139 1660 6D3D,-56.5
921.75,5.7248163,3039 6062 C3AD 3FC0 001F 4997,-63
921.75,2.601631416,C200 10D3 2002 29A4 BCC3 0004,-66
921.75,5.933437688,3039 6062 C3AD 3FC0 001F 4997,-64.5
921.75,1.165825399,E200 0017 9408 0139 1660 6D3D,-58.5
921.75,1.81009733,E200 0017 9408 0236 1560 799A,-58
921.75,5.749359993,C200 10D3 2002 29A4 BCC3 0004,-65.5
921.75,3.522019889,E200 0017 9408 0139 1660 6D3D,-58
921.75,2.153709026,E200 0017 9408 0236 1560 799A,-56
906.75,4.608078287,3039 6062 C3AD 3FC0 001F 4997,-61
906.75,4.608078287,3039 6062 C3AD 3FC0 001F 4997,-61
906.75,3.454524734,E200 0017 9408 0139 1660 6D3D,-53
906.75,0.429514621,E200 0017 9408 0236 1560 799A,-55
906.75,4.436272439,3039 6062 C3AD 3FC0 001F 4997,-60
906.75,0.515417545,E200 0017 9408 0236 1560 799A,-55.5
906.75,3.098641192,E200 0017 9408 0139 1660 6D3D,-53.5
906.75,4.374913207,3039 6062 C3AD 3FC0 001F 4997,-60
906.75,0.478602006,E200 0017 9408 0236 1560 799A,-55.5
906.75,2.969786805,E200 0017 9408 0139 1660 6D3D,-53
906.75,2.951379036,E200 0017 9408 0139 1660 6D3D,-51
906.75,0.337475773,E200 0017 9408 0236 1560 799A,-55.5
906.75,4.350369514,3039 6062 C3AD 3FC0 001F 4997,-60
906.75,5.982525073,E280 1160 6000 0209 5014 4A91,-75
906.75,3.123184884,E200 0017 9408 0139 1660 6D3D,-50
906.75,4.227651051,3039 6062 C3AD 3FC0 001F 4997,-60
906.75,0.337475773,E200 0017 9408 0236 1560 799A,-55.5
917.25,3.227495578,E200 0017 9408 0236 1560 799A,-55.5
917.25,0.165669925,3039 6062 C3AD 3FC0 001F 4997,-61
917.25,0.552233084,E200 0017 9408 0139 1660 6D3D,-45
917.25,3.313398502,E200 0017 9408 0236 1560 799A,-55.5
917.25,0.515417545,E200 0017 9408 0139 1660 6D3D,-45
917.25,0.09817477,3039 6062 C3AD 3FC0 001F 4997,-61
917.25,0.012271846,3039 6062 C3AD 3FC0 001F 4997,-61
917.25,3.479068427,E200 0017 9408 0236 1560 799A,-55.5
917.25,0.386563159,E200 0017 9408 0139 1660 6D3D,-44.5
917.25,0.251572849,E200 0017 9408 0139 1660 6D3D,-44
917.25,3.607922813,E200 0017 9408 0236 1560 799A,-54.5
917.25,0.042951462,3039 6062 C3AD 3FC0 001F 4997,-60.5
917.25,0.251572849,E200 0017 9408 0139 1660 6D3D,-44
926.25,3.620194659,E200 0017 9408 0139 1660 6D3D,-39
926.25,1.767145868,E200 0017 9408 0236 1560 799A,-50.5
926.25,2.877747958,3039 6062 C3AD 3FC0 001F 4997,-63.5
926.25,2.93910719,3039 6062 C3AD 3FC0 001F 4997,-63.5
926.25,1.754874021,E200 0017 9408 0236 1560 799A,-50.5
926.25,3.571107274,E200 0017 9408 0139 1660 6D3D,-39
926.25,2.871612035,3039 6062 C3AD 3FC0 001F 4997,-64.5
926.25,3.448388811,E200 0017 9408 0139 1660 6D3D,-39
926.25,1.773281791,E200 0017 9408 0236 1560 799A,-50
926.25,3.436116965,E200 0017 9408 0139 1660 6D3D,-39
926.25,3.110913038,3039 6062 C3AD 3FC0 001F 4997,-64
926.25,1.785553637,E200 0017 9408 0236 1560 799A,-50
926.25,3.442252888,E200 0017 9408 0139 1660 6D3D,-39
924.25,3.976078202,E200 0017 9408 0139 1660 6D3D,-41.5
924.25,2.276427489,E200 0017 9408 0236 1560 799A,-51.5
924.25,0.79767001,E200 0017 9408 0139 1660 6D3D,-42
924.25,3.926990817,3039 6062 C3AD 3FC0 001F 4997,-66
924.25,2.165980872,E200 0017 9408 0236 1560 799A,-51.5
924.25,3.908583048,3039 6062 C3AD 3FC0 001F 4997,-66
924.25,2.35619449,E200 0017 9408 0236 1560 799A,-50.5
924.25,2.233476027,E200 0017 9408 0236 1560 799A,-50.5
924.25,0.208621387,E200 0017 9408 0139 1660 6D3D,-42
924.25,0.21475731,E200 0017 9408 0139 1660 6D3D,-41.5
908.25,0.392699082,E200 0017 9408 0236 1560 799A,-52
908.25,4.154019974,3039 6062 C3AD 3FC0 001F 4997,-63.5
908.25,4.595806441,E200 0017 9408 0139 1660 6D3D,-44.5
908.25,0.398835005,E200 0017 9408 0236 1560 799A,-52
908.25,4.074252973,3039 6062 C3AD 3FC0 001F 4997,-63.5
908.25,1.889864331,E280 1160 6000 0209 5014 4A91,-74.5
908.25,1.55852448,E200 0017 9408 0139 1660 6D3D,-44.5
908.25,0.398835005,E200 0017 9408 0236 1560 799A,-52.5
908.25,0.871301088,3039 6062 C3AD 3FC0 001F 4997,-63.5
908.25,1.730330329,E280 1160 6000 0209 5014 4A91,-75
908.25,0.392699082,E200 0017 9408 0236 1560 799A,-52
908.25,4.700117134,E200 0017 9408 0139 1660 6D3D,-44.5
908.25,0.901980703,3039 6062 C3AD 3FC0 001F 4997,-63.5
908.25,1.896000254,E280 1160 6000 0209 5014 4A91,-75
903.25,2.067806102,E200 0017 9408 0236 1560 799A,-51.5
903.25,2.755029495,E200 0017 9408 0139 1660 6D3D,-44
903.25,5.681864838,3039 6062 C3AD 3FC0 001F 4997,-62.5
903.25,2.080077948,E200 0017 9408 0236 1560 799A,-51.5
903.25,5.884350302,E200 0017 9408 0139 1660 6D3D,-44
903.25,5.890486225,E200 0017 9408 0139 1660 6D3D,-44
903.25,5.620505607,3039 6062 C3AD 3FC0 001F 4997,-62.5
903.25,5.632777453,3039 6062 C3AD 3FC0 001F 4997,-62.5
903.25,5.313709449,E280 1160 6000 0209 5014 4A91,-74.5
925.75,1.938951716,E200 0017 9408 0236 1560 799A,-49.5
925.75,3.166136346,E200 0017 9408 0139 1660 6D3D,-41.5
925.75,0.533825314,3039 6062 C3AD 3FC0 001F 4997,-67
925.75,2.012582794,E200 0017 9408 0236 1560 799A,-49.5
925.75,3.60178689,3039 6062 C3AD 3FC0 001F 4997,-67
925.75,2.000310947,E200 0017 9408 0236 1560 799A,-49.5
925.75,0.44792239,3039 6062 C3AD 3FC0 001F 4997,-66
925.75,3.534291735,3039 6062 C3AD 3FC0 001F 4997,-66
921.25,1.279339977,E200 0017 9408 0139 1660 6D3D,-42
921.25,0.09817477,E200 0017 9408 0236 1560 799A,-52
921.25,0.085902924,E200 0017 9408 0236 1560 799A,-52
921.25,1.352971055,E200 0017 9408 0139 1660 6D3D,-42
921.25,5.138835639,3039 6062 C3AD 3FC0 001F 4997,-65
921.25,6.050020227,C200 10D3 2002 29A4 BCC3 0004,-67.5
921.25,1.47875748,E200 0017 9408 0139 1660 6D3D,-41
921.25,0.141126232,E200 0017 9408 0236 1560 799A,-52.5
921.25,1.938951716,3039 6062 C3AD 3FC0 001F 4997,-65
921.25,6.07456392,C200 10D3 2002 29A4 BCC3 0004,-67.5
909.75,0.092038847,E200 0017 9408 0236 1560 799A,-52.5
909.75,5.994796919,3039 6062 C3AD 3FC0 001F 4997,-63.5
909.75,0.128854386,E200 0017 9408 0236 1560 799A,-52
909.75,2.724349879,3039 6062 C3AD 3FC0 001F 4997,-62.5
909.75,2.607767339,3039 6062 C3AD 3FC0 001F 4997,-60
909.75,0.227029157,E200 0017 9408 0236 1560 799A,-52
909.75,0.742446701,E280 1160 6000 0209 5014 4A91,-75.5
909.75,0.184077695,E200 0017 9408 0236 1560 799A,-51.5
909.75,2.669126571,3039 6062 C3AD 3FC0 001F 4997,-59.5
909.75,0.77926224,E280 1160 6000 0209 5014 4A91,-75.5
907.25,1.006291397,E200 0017 9408 0236 1560 799A,-51.5
907.25,5.614369684,E280 1160 6000 0209 5014 4A91,-75
907.25,0.68108747,3039 6062 C3AD 3FC0 001F 4997,-59.5
907.25,1.049242859,E200 0017 9408 0236 1560 799A,-52
907.25,3.902447124,3039 6062 C3AD 3FC0 001F 4997,-59.5
907.25,5.663457069,E280 1160 6000 0209 5014 4A91,-75
907.25,0.981747704,E200 0017 9408 0236 1560 799A,-52
907.25,3.976078202,3039 6062 C3AD 3FC0 001F 4997,-59
907.25,4.037437434,3039 6062 C3AD 3FC0 001F 4997,-59
907.25,0.994019551,E200 0017 9408 0236 1560 799A,-52
919.25,5.734020185,3039 6062 C3AD 3FC0 001F 4997,-63
919.25,4.154019974,E200 0017 9408 0236 1560 799A,-54.5
919.25,0.803805933,C200 10D3 2002 29A4 BCC3 0004,-67
919.25,4.190835513,E200 0017 9408 0236 1560 799A,-54.5
919.25,5.795379417,3039 6062 C3AD 3FC0 001F 4997,-63
919.25,0.773126317,C200 10D3 2002 29A4 BCC3 0004,-67
919.25,5.755495916,3039 6062 C3AD 3FC0 001F 4997,-63
919.25,1.040038974,E200 0017 9408 0236 1560 799A,-54.5
919.25,0.760854471,C200 10D3 2002 29A4 BCC3 0004,-67
919.25,4.203107359,E200 0017 9408 0236 1560 799A,-52.5
919.25,5.85980661,3039 6062 C3AD 3FC0 001F 4997,-62.5
918.75,4.160155897,E200 0017 9408 0236 1560 799A,-53.5
918.75,6.178874614,3039 6062 C3AD 3FC0 001F 4997,-61.5
918.75,4.031301511,E200 0017 9408 0236 1560 799A,-53.5
918.75,6.252505691,3039 6062 C3AD 3FC0 001F 4997,-62
918.75,1.000155474,C200 10D3 2002 29A4 BCC3 0004,-66.5
918.75,3.853359739,E200 0017 9408 0236 1560 799A,-53.5
918.75,0.134990309,3039 6062 C3AD 3FC0 001F 4997,-61.5
918.75,1.190369091,E200 0017 9408 0139 1660 6D3D,-38
918.75,3.706097584,E200 0017 9408 0236 1560 799A,-53
918.75,0.23316508,3039 6062 C3AD 3FC0 001F 4997,-62.5
918.75,0.227029157,3039 6062 C3AD 3FC0 001F 4997,-63
918.75,3.497476196,E200 0017 9408 0236 1560 799A,-52.5
918.75,0.239301003,3039 6062 C3AD 3FC0 001F 4997,-62
902.75,2.037126486,E200 0017 9408 0236 1560 799A,-52
902.75,5.556078414,E200 0017 9408 0139 1660 6D3D,-42
902.75,2.006446871,E200 0017 9408 0236 1560 799A,-51.5
902.75,6.013204689,3039 6062 C3AD 3FC0 001F 4997,-58.5
902.75,5.700272608,E280 1160 6000 0209 5014 4A91,-75
902.75,2.02485464,E200 0017 9408 0236 1560 799A,-51.5
902.75,5.951845457,3039 6062 C3AD 3FC0 001F 4997,-58
902.75,5.565282298,E280 1160 6000 0209 5014 4A91,-75
902.75,5.988660996,3039 6062 C3AD 3FC0 001F 4997,-58
902.75,2.067806102,E200 0017 9408 0236 1560 799A,-51.5
902.75,5.62664153,E280 1160 6000 0209 5014 4A91,-74.5
920.75,6.252505691,E200 0017 9408 0236 1560 799A,-52
920.75,3.049553806,E200 0017 9408 0236 1560 799A,-52
920.75,5.945709534,3039 6062 C3AD 3FC0 001F 4997,-64
920.75,6.17273869,E200 0017 9408 0236 1560 799A,-52.5
920.75,2.890019804,E200 0017 9408 0236 1560 799A,-50
920.75,0.840621472,E200 0017 9408 0139 1660 6D3D,-38
920.75,5.95798138,3039 6062 C3AD 3FC0 001F 4997,-64
920.75,0.951068088,E200 0017 9408 0139 1660 6D3D,-38.5
920.75,3.27044704,E200 0017 9408 0236 1560 799A,-51.5
920.75,5.896622149,3039 6062 C3AD 3FC0 001F 4997,-64
920.75,2.693670264,E200 0017 9408 0236 1560 799A,-52
920.75,5.970253226,3039 6062 C3AD 3FC0 001F 4997,-64
920.75,0.828349625,E200 0017 9408 0139 1660 6D3D,-38.5
920.75,3.025010114,E200 0017 9408 0236 1560 799A,-50.5
920.75,5.994796919,3039 6062 C3AD 3FC0 001F 4997,-64
914.75,4.552854978,E200 0017 9408 0236 1560 799A,-53
914.75,1.656699251,3039 6062 C3AD 3FC0 001F 4997,-62
914.75,4.558990902,E200 0017 9408 0236 1560 799A,-53
914.75,1.607611866,3039 6062 C3AD 3FC0 001F 4997,-62
914.75,1.589204096,3039 6062 C3AD 3FC0 001F 4997,-62.5
914.75,2.540272185,E200 0017 9408 0139 1660 6D3D,-39.5
914.75,4.522175363,E200 0017 9408 0236 1560 799A,-53
914.75,4.577398671,E200 0017 9408 0236 1560 799A,-53
914.75,1.570796327,3039 6062 C3AD 3FC0 001F 4997,-61.5
914.75,4.761476366,E280 1160 6000 0209 5014 4A91,-76.5
914.75,5.651185223,E200 0017 9408 0139 1660 6D3D,-40
914.75,5.602097837,E200 0017 9408 0139 1660 6D3D,-40
919.75,3.267379078,E200 0017 9408 0236 1560 799A,-53
919.75,6.145127036,3039 6062 C3AD 3FC0 001F 4997,-63
919.75,0.429514621,C200 10D3 2002 29A4 BCC3 0004,-66.5
919.75,3.411573272,E200 0017 9408 0236 1560 799A,-52.5
919.75,0.067495155,3039 6062 C3AD 3FC0 001F 4997,-61.5
919.75,1.000155474,E200 0017 9408 0139 1660 6D3D,-38
919.75,0.429514621,C200 10D3 2002 29A4 BCC3 0004,-66.5
919.75,0.245436926,E200 0017 9408 0236 1560 799A,-53
919.75,3.03728196,3039 6062 C3AD 3FC0 001F 4997,-63
919.75,4.043573357,E200 0017 9408 0139 1660 6D3D,-38.5
919.75,0.521553468,C200 10D3 2002 29A4 BCC3 0004,-67
919.75,4.028233549,E200 0017 9408 0139 1660 6D3D,-38.5
919.75,6.194214421,3039 6062 C3AD 3FC0 001F 4997,-62.5
919.75,0.484737929,C200 10D3 2002 29A4 BCC3 0004,-67
919.75,3.36862181,E200 0017 9408 0236 1560 799A,-53
913.75,1.896000254,3039 6062 C3AD 3FC0 001F 4997,-60.5
913.75,4.933282214,E200 0017 9408 0236 1560 799A,-53
913.75,5.694136685,E200 0017 9408 0139 1660 6D3D,-39.5
913.75,2.540272185,E200 0017 9408 0139 1660 6D3D,-39
913.75,1.932815793,3039 6062 C3AD 3FC0 001F 4997,-60.5
913.75,4.902602598,E200 0017 9408 0236 1560 799A,-53
913.75,1.877592484,3039 6062 C3AD 3FC0 001F 4997,-60
913.75,4.951689983,E200 0017 9408 0236 1560 799A,-53
913.75,5.221670602,E280 1160 6000 0209 5014 4A91,-76
913.75,4.957825906,E200 0017 9408 0236 1560 799A,-53
913.75,1.957359485,3039 6062 C3AD 3FC0 001F 4997,-60.5
913.75,5.51005899,E280 1160 6000 0209 5014 4A91,-76
904.25,1.699650713,E200 0017 9408 0236 1560 799A,-51.5
904.25,5.430291989,3039 6062 C3AD 3FC0 001F 4997,-58.5
904.25,1.595340019,E280 1160 6000 0209 5014 4A91,-74
904.25,5.424156066,3039 6062 C3AD 3FC0 001F 4997,-58.5
904.25,1.724194406,E200 0017 9408 0236 1560 799A,-51.5
904.25,4.651029749,E280 1160 6000 0209 5014 4A91,-73.5
904.25,1.761009944,E200 0017 9408 0236 1560 799A,-51
904.25,5.325981296,3039 6062 C3AD 3FC0 001F 4997,-57.5
904.25,1.797825483,E200 0017 9408 0236 1560 799A,-51.5
904.25,5.375068681,3039 6062 C3AD 3FC0 001F 4997,-58.5
906.25,1.153553552,E200 0017 9408 0236 1560 799A,-51.5
906.25,4.589670517,3039 6062 C3AD 3FC0 001F 4997,-58.5
906.25,4.73079675,3039 6062 C3AD 3FC0 001F 4997,-58.5
906.25,1.165825399,E200 0017 9408 0236 1560 799A,-51.5
906.25,1.11060209,E200 0017 9408 0236 1560 799A,-51.5
906.25,4.595806441,3039 6062 C3AD 3FC0 001F 4997,-58.5
906.25,0.276116542,E280 1160 6000 0209 5014 4A91,-74
906.25,1.282407939,E200 0017 9408 0139 1660 6D3D,-40.5
906.25,1.282407939,E200 0017 9408 0139 1660 6D3D,-40.5
906.25,4.61421421,3039 6062 C3AD 3FC0 001F 4997,-58.5
906.25,1.135145783,E200 0017 9408 0236 1560 799A,-51.5
906.25,0.085902924,E280 1160 6000 0209 5014 4A91,-74
906.25,4.71238898,3039 6062 C3AD 3FC0 001F 4997,-59
906.25,1.141281706,E200 0017 9408 0236 1560 799A,-51.5
907.75,4.055845203,E200 0017 9408 0139 1660 6D3D,-40
907.75,2.264155643,E280 1160 6000 0209 5014 4A91,-74
907.75,4.14788405,3039 6062 C3AD 3FC0 001F 4997,-58.5
907.75,0.638136008,E200 0017 9408 0236 1560 799A,-52
907.75,5.405748297,E280 1160 6000 0209 5014 4A91,-73.5
907.75,4.086524819,3039 6062 C3AD 3FC0 001F 4997,-58.5
907.75,0.6626797,E200 0017 9408 0236 1560 799A,-52
907.75,0.908116626,E200 0017 9408 0139 1660 6D3D,-40
907.75,2.362330413,E280 1160 6000 0209 5014 4A91,-74
907.75,0.601320469,E200 0017 9408 0236 1560 799A,-52
907.75,5.755495916,E280 1160 6000 0209 5014 4A91,-74
915.75,4.736932673,E200 0017 9408 0236 1560 799A,-54
915.75,4.203107359,E280 1160 6000 0209 5014 4A91,-75.5
915.75,1.896000254,E200 0017 9408 0139 1660 6D3D,-38
915.75,1.202640938,3039 6062 C3AD 3FC0 001F 4997,-60
915.75,4.706253057,E200 0017 9408 0236 1560 799A,-54
915.75,4.123340358,E280 1160 6000 0209 5014 4A91,-76
915.75,5.049864754,E200 0017 9408 0139 1660 6D3D,-38.5
915.75,4.73079675,E200 0017 9408 0236 1560 799A,-54
915.75,1.270136092,3039 6062 C3AD 3FC0 001F 4997,-60.5
915.75,4.178563666,E280 1160 6000 0209 5014 4A91,-76
915.75,1.202640938,3039 6062 C3AD 3FC0 001F 4997,-60
915.75,4.700117134,E200 0017 9408 0236 1560 799A,-54.5
914.25,5.037592907,E200 0017 9408 0236 1560 799A,-53.5
914.25,1.779417714,3039 6062 C3AD 3FC0 001F 4997,-60
914.25,5.068272523,E200 0017 9408 0236 1560 799A,-53.5
914.25,1.81009733,3039 6062 C3AD 3FC0 001F 4997,-60
914.25,5.448699759,E200 0017 9408 0139 1660 6D3D,-38.5
914.25,4.970097753,E280 1160 6000 0209 5014 4A91,-75.5
914.25,5.430291989,E200 0017 9408 0139 1660 6D3D,-38.5
914.25,1.79168956,3039 6062 C3AD 3FC0 001F 4997,-60
914.25,5.092816216,E200 0017 9408 0236 1560 799A,-54
914.25,4.804427828,E280 1160 6000 0209 5014 4A91,-76
914.25,5.092816216,E200 0017 9408 0236 1560 799A,-53
914.25,1.761009944,3039 6062 C3AD 3FC0 001F 4997,-59.5
914.25,5.006913292,E280 1160 6000 0209 5014 4A91,-76
916.75,0.883572934,3039 6062 C3AD 3FC0 001F 4997,-60.5
916.75,4.49763167,E200 0017 9408 0236 1560 799A,-54
916.75,0.497009775,E280 1160 6000 0209 5014 4A91,-76
916.75,0.932660319,3039 6062 C3AD 3FC0 001F 4997,-60
916.75,4.503767593,E200 0017 9408 0236 1560 799A,-54
916.75,4.540583132,E200 0017 9408 0236 1560 799A,-54
916.75,0.957204012,3039 6062 C3AD 3FC0 001F 4997,-60
916.75,4.509903516,E200 0017 9408 0236 1560 799A,-54
916.75,0.859029241,3039 6062 C3AD 3FC0 001F 4997,-60
916.75,0.865165164,3039 6062 C3AD 3FC0 001F 4997,-59.5
916.75,4.528311286,E200 0017 9408 0236 1560 799A,-54
915.25,5.126563793,E200 0017 9408 0139 1660 6D3D,-38.5
915.25,1.411262325,E280 1160 6000 0209 5014 4A91,-75.5
915.25,4.546719055,3039 6062 C3AD 3FC0 001F 4997,-60
915.25,4.816699674,E200 0017 9408 0236 1560 799A,-54.5
915.25,4.902602598,E200 0017 9408 0236 1560 799A,-54.5
915.25,1.441941941,3039 6062 C3AD 3FC0 001F 4997,-60
915.25,5.878214379,C200 10D3 2002 29A4 BCC3 0004,-67.5
915.25,4.706253057,E280 1160 6000 0209 5014 4A91,-76
915.25,2.116893487,E200 0017 9408 0139 1660 6D3D,-38
915.25,1.491029326,3039 6062 C3AD 3FC0 001F 4997,-60
915.25,4.927146291,E200 0017 9408 0236 1560 799A,-54.5
915.25,1.417398248,3039 6062 C3AD 3FC0 001F 4997,-60
915.25,4.927146291,E200 0017 9408 0236 1560 799A,-54.5
917.75,1.506369134,C200 10D3 2002 29A4 BCC3 0004,-67.5
917.75,4.635689941,E200 0017 9408 0139 1660 6D3D,-38
917.75,3.055689729,E280 1160 6000 0209 5014 4A91,-75
917.75,0.567572892,3039 6062 C3AD 3FC0 001F 4997,-60.5
917.75,4.549787017,E200 0017 9408 0236 1560 799A,-56
917.75,4.675573441,E200 0017 9408 0236 1560 799A,-56.5
917.75,0.56450493,3039 6062 C3AD 3FC0 001F 4997,-59.5
917.75,0.558369007,3039 6062 C3AD 3FC0 001F 4997,-60
917.75,4.620350133,E200 0017 9408 0236 1560 799A,-56.5
917.75,4.687845288,E200 0017 9408 0236 1560 799A,-57
917.75,0.515417545,3039 6062 C3AD 3FC0 001F 4997,-59
922.75,1.794757522,3039 6062 C3AD 3FC0 001F 4997,-60.5
922.75,0.690291355,E200 0017 9408 0236 1560 799A,-54.5
922.75,3.871767509,E200 0017 9408 0236 1560 799A,-54
922.75,4.970097753,3039 6062 C3AD 3FC0 001F 4997,-60
922.75,4.951689983,3039 6062 C3AD 3FC0 001F 4997,-60
922.75,3.841087893,E200 0017 9408 0236 1560 799A,-54
922.75,0.128854386,E200 0017 9408 0139 1660 6D3D,-37
